trial_number,timestamp,val_f1,train_f1,f1_discrepancy,val_err,train_err,err_discrepancy,hp_dim_n_components,hp_xgb_max_depth,hp_xgb_learning_rate,hp_xgb_subsample,hp_xgb_colsample_bynode,hp_xgb_min_child_weight,hp_xgb_min_split_loss,hp_xgb_lambda,hp_xgb_alpha,hp_val_split,hp_seed,hp_num_rounds,hp_early_stopping_rounds,hp_dim_reduction_method,hp_xgb_num_parallel_tree
49,2025-08-10T21:57:40.929729,0.687412,0.981901,0.294489,0.29269711958102995,0.01716779825412221,0.2755293213269077,1000,6,0.007969304503538022,0.672383253491898,0.4183163313296131,12.87193471243203,2.0712358723943676,9.523505368801159,10.136814346375473,0.4,42,100000,500,svd,1
50,2025-08-10T21:58:02.020228,0.676155,0.836068,0.15991300000000008,0.3091358743089904,0.15693501454898157,0.15220085976000886,900,3,0.005054475660075565,0.7719593767691635,0.2898982500425704,11.596647729150769,1.5902729438426464,8.241386479273643,7.608516824149173,0.4,42,100000,500,svd,1
51,2025-08-10T21:58:22.281296,0.691402,0.984744,0.293342,0.2910968868199011,0.01445198836081474,0.27664489845908635,600,5,0.009940508120096602,0.6025646199072259,0.33144095875826285,14.531606841827779,1.5481218869076017,10.373636549458716,8.959191734317834,0.4,42,100000,500,svd,1
52,2025-08-10T21:58:43.898831,0.691284,0.964912,0.273628,0.29211521675880125,0.03336566440349176,0.2587495523553095,600,4,0.00924947719749705,0.6014475206968539,0.32351784189800814,14.819418470505346,1.1875390190328632,10.229510103282134,7.04612710669711,0.4,42,100000,500,svd,1
53,2025-08-10T21:59:06.531963,0.692338,0.962216,0.26987799999999995,0.29124236252545826,0.03588748787584869,0.2553548746496096,600,5,0.009661409133661694,0.5982556383671929,0.3301168428458615,14.622661678134886,1.2065960718139948,9.933907056099091,7.160653337049986,0.4,42,100000,500,svd,1
54,2025-08-10T21:59:21.476658,0.691932,0.970483,0.278551,0.29066045970322957,0.02803103782735208,0.2626294218758775,600,5,0.009879112048895893,0.5954094426092221,0.3306236100143229,14.828092287110481,1.1913809757561462,8.894500927244355,6.9138622767626305,0.4,42,100000,500,svd,1
55,2025-08-10T21:59:37.653499,0.687423,0.993436,0.306013,0.2919697410532441,0.00620756547041707,0.285762175582827,400,7,0.009840931468578428,0.6055571361077859,0.3247092967738073,14.802399430469213,1.176036814449558,8.588984764467963,6.722175319267039,0.4,42,100000,500,svd,1
56,2025-08-10T22:00:03.220556,0.688613,0.983709,0.2950959999999999,0.2934244981088158,0.01542192046556741,0.2780025776432484,500,6,0.009135205885739316,0.5835705461499293,0.3723322666435606,16.254806663586386,1.1859089470789312,7.617987186657071,6.136173666006543,0.4,42,100000,500,svd,1
57,2025-08-10T22:00:20.946401,0.691808,0.965273,0.27346500000000007,0.29211521675880125,0.03297769156159069,0.25913752519721056,500,5,0.00784056143029728,0.6204097416874017,0.329473360915653,14.68993051279039,1.8295412145859455,10.3437978757532,8.597590386445583,0.4,42,100000,500,svd,1
58,2025-08-10T22:00:40.944009,0.694835,0.960611,0.265776,0.2892057026476578,0.03743937924345296,0.25176632340420485,500,5,0.008297441871567545,0.557066688419849,0.3344919604339814,14.731407532183132,1.7605873907863392,10.339390170409093,8.475165935714745,0.4,42,100000,500,svd,1
59,2025-08-10T22:00:59.373378,0.690447,0.93815,0.247703,0.2947337794588304,0.05897187196896217,0.23576190748986822,300,6,0.008506711746434366,0.5401408314772316,0.340496817629465,17.25302228765327,1.8318868413995726,10.443581842557915,8.043881692334034,0.4,42,100000,500,svd,1
60,2025-08-10T22:01:13.937055,0.691445,0.963675,0.27222999999999997,0.2929880709921443,0.03452958292919495,0.25845848806294935,500,5,0.009919746259043684,0.6097476828634582,0.3350903990669391,14.587003482442183,1.1300185024915677,9.61251604971175,8.681585760944197,0.4,42,100000,500,svd,1
61,2025-08-10T22:01:30.073257,0.690582,0.973319,0.282737,0.2929880709921443,0.02531522793404462,0.2676728430580997,500,5,0.009983015702516225,0.602219929973005,0.3385388931303565,14.68303051397661,1.2674149709639593,11.226590173648772,8.647083047675537,0.4,42,100000,500,svd,1
62,2025-08-10T22:01:48.170405,0.692514,0.979534,0.28702000000000005,0.29066045970322957,0.01939864209505335,0.2712618176081762,500,5,0.007619056528493293,0.4997958156713893,0.36805023819380317,15.858015605653787,1.0076076813055677,9.615792029834282,6.782570709552649,0.4,42,100000,500,svd,1
63,2025-08-10T22:02:10.943376,0.689466,0.932876,0.24341000000000002,0.2951702065755019,0.06391852570320078,0.23125168087230114,400,5,0.0075377698170663214,0.4509344209508893,0.3671529640856045,15.863928202319514,1.0827115561446459,9.593010905404663,5.717473681334125,0.4,42,100000,500,svd,1
64,2025-08-10T22:02:25.919662,0.688467,0.972312,0.2838449999999999,0.29444282804771604,0.02628516003879728,0.26815766800891877,500,6,0.007285228304596637,0.4952591650502455,0.3085853385102925,15.686231798377774,1.7566170063294906,8.971836147197449,8.65602565213533,0.4,42,100000,500,svd,1
65,2025-08-10T22:02:45.954200,0.6847,0.914097,0.22939700000000007,0.2996799534477742,0.08195926285160039,0.21772069059617383,500,5,0.0044714517578646595,0.5515026040989567,0.39119463870582794,16.503203469992044,1.5048620972653237,6.89052113937557,7.246856302873023,0.4,42,100000,500,svd,1
66,2025-08-10T22:03:03.951679,0.691624,0.977713,0.28608900000000004,0.2909514111143439,0.02114451988360815,0.26980689123073576,400,6,0.00863021418923034,0.6348598444863195,0.3529071469176471,14.34858730208012,1.316825718699406,9.612429474083829,9.218848285442299,0.4,42,100000,500,svd,1
67,2025-08-10T22:03:25.334486,0.685967,0.948793,0.262826,0.29851614780331687,0.04878758486905917,0.24972856293425771,300,8,0.005409490807831373,0.6317560583252709,0.3561909388790129,15.346882498582668,1.3263320398869818,9.629752695046966,8.104345387366358,0.4,42,100000,500,svd,1
68,2025-08-10T22:03:45.250675,0.690314,0.971194,0.28088,0.29269711958102995,0.02735208535402522,0.26534503422700473,400,6,0.008296101272405303,0.27510110817483596,0.27478135704547435,13.558989842041841,1.0258115277832607,8.323985051260443,6.396794437668274,0.4,42,100000,500,svd,1
69,2025-08-10T22:04:02.621684,0.691323,0.966005,0.274682,0.2915333139365726,0.03229873908826382,0.2592345748483088,400,6,0.0068644592809716,0.5066936376960206,0.41788529375576705,18.110264951238214,1.3091823096433022,7.804627802399138,5.23017507039358,0.4,42,100000,500,svd,1
70,2025-08-10T22:04:21.116350,0.645839,0.711476,0.06563699999999995,0.33881291824265347,0.27526673132880697,0.0635461869138465,500,5,0.00019267149149790634,0.38180178539557463,0.38488239030798915,14.38708766277573,1.1127929667974124,10.764022990470375,7.458957339266078,0.4,42,100000,500,svd,1
71,2025-08-10T22:04:24.618102,0.690129,0.989447,0.299318,0.2897876054698865,0.00999030067895247,0.27979730479093406,600,7,0.008533941905944907,0.574154872039649,0.33464286426125106,15.220855572967766,1.5114840266160672,9.733306979313479,9.298134194297994,0.4,42,100000,500,svd,1
72,2025-08-10T22:04:46.839199,0.690889,0.970195,0.27930600000000005,0.2924061681699156,0.02832201745877789,0.2640841507111377,600,5,0.008680155120124104,0.6185191748200337,0.3057109800455658,14.326991888987498,1.6852708048766436,10.55211012612367,9.121675077619162,0.4,42,100000,500,svd,1
73,2025-08-10T22:05:06.406395,0.640884,0.701256,0.06037199999999998,0.34623217922606925,0.2871968962172648,0.05903528300880445,500,5,0.00010617705968063447,0.6367318019606667,0.357136477275468,13.526900095882297,1.407237941069269,11.416415225180275,8.263432770267567,0.4,42,100000,500,svd,1
74,2025-08-10T22:05:13.692749,0.688062,0.953751,0.26568900000000006,0.2966249636310736,0.0440349175557711,0.2525900460753025,400,6,0.0065259162718571875,0.5317470547199241,0.3478089605859173,16.796967414150085,1.9718945999580242,9.233576744445259,9.7302665341028,0.4,42,100000,500,svd,1
75,2025-08-10T22:05:32.717149,0.688649,0.969168,0.2805190000000001,0.2945883037532732,0.02929194956353055,0.2652963541897427,500,5,0.005752644129273525,0.5609264376515845,0.2716163442731913,17.356373367621824,1.5505639646329439,5.707409873651388,6.901164592250074,0.4,42,100000,500,svd,1
76,2025-08-10T22:05:59.106195,0.68966,0.958581,0.26892099999999997,0.29371544951993017,0.03937924345295829,0.2543362060669719,600,5,0.007782524211271677,0.46204705680674546,0.39420026764713656,15.592952554366283,1.250530394255225,8.693371061255617,8.556020781906374,0.4,42,100000,500,svd,1
77,2025-08-10T22:06:16.259561,0.684556,0.899526,0.21497,0.30171661332557465,0.09602327837051407,0.2056933349550606,300,5,0.009081894933485534,0.5923225156629258,0.3140868393160133,14.271743035023222,1.141595603047276,10.939304736317764,7.741586140071547,0.4,42,100000,500,svd,1
78,2025-08-10T22:06:28.661169,0.690774,0.983326,0.29255200000000003,0.2899330811754437,0.01580989330746848,0.27412318786797524,600,9,0.009944357188146747,0.646511590585554,0.33374112139566686,16.21549418175008,2.313289047004705,9.958350983767327,10.539577699939832,0.4,42,100000,500,svd,1
79,2025-08-10T22:06:48.722775,0.690838,0.974449,0.28361100000000006,0.2919697410532441,0.02424830261881668,0.2677214384344274,500,6,0.006686683793620125,0.6865685548214874,0.30382084712220164,14.920338563535793,1.3593170340312684,8.16039957556089,6.497511803273663,0.4,42,100000,500,svd,1
80,2025-08-10T22:07:10.060258,0.671987,0.838689,0.16670200000000002,0.31393657259237706,0.1545101842870999,0.15942638830527717,400,5,0.000648463474874276,0.7256761186165073,0.3591847551520687,13.78754569482525,1.003599064224692,9.378706657014087,5.724199280797695,0.4,42,100000,500,svd,1
